Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over
0,0.99998,-8.51E-01,-1.64E-05,0.00E+00,-8.50E-01,5.22E-04,7,...........
1,1.99995,-8.51E-01,-1.64E-05,0.00E+00,-8.50E-01,2.22E-04,7,...........
2,2.99993,-8.51E-01,-1.63E-05,0.00E+00,-8.50E-01,1.22E-04,7,...........
3,3.9999,-8.51E-01,-1.63E-05,0.00E+00,-8.50E-01,1.22E-04,7,...........
4,4.99988,-8.50E-01,-1.63E-05,0.00E+00,-8.50E-01,1.22E-04,7,...........
5,5.99985,-8.50E-01,-1.63E-05,0.00E+00,-8.49E-01,3.22E-04,7,...........
6,6.99983,-8.50E-01,-1.63E-05,0.00E+00,-8.49E-01,2.20E-05,7,...........
7,7.9998,-8.50E-01,-1.62E-05,0.00E+00,-8.49E-01,-7.80E-05,7,...........
8,8.99977,-8.50E-01,-1.62E-05,0.00E+00,-8.49E-01,5.22E-04,7,...........
9,9.9998,-8.50E-01,-1.62E-05,0.00E+00,-8.49E-01,5.22E-04,7,...........
10,10.9997,-8.49E-01,-1.62E-05,0.00E+00,-8.49E-01,1.22E-04,7,...........
11,11.9997,-8.49E-01,-1.62E-05,0.00E+00,-8.48E-01,5.22E-04,7,...........
12,12.9997,-8.49E-01,-1.62E-05,0.00E+00,-8.48E-01,1.22E-04,7,...........
13,13.9997,-8.49E-01,-1.62E-05,0.00E+00,-8.48E-01,5.22E-04,7,...........
14,14.9996,-8.49E-01,-1.62E-05,0.00E+00,-8.48E-01,2.22E-04,7,...........
15,15.9996,-8.49E-01,-1.61E-05,0.00E+00,-8.48E-01,3.22E-04,7,...........
16,16.9996,-8.48E-01,-1.61E-05,0.00E+00,-8.48E-01,-7.80E-05,7,...........
17,17.9995,-8.48E-01,-1.61E-05,0.00E+00,-8.47E-01,3.22E-04,7,...........
18,18.9995,-8.48E-01,-1.61E-05,0.00E+00,-8.47E-01,2.20E-05,7,...........
19,19.9995,-8.48E-01,-1.61E-05,0.00E+00,-8.47E-01,1.22E-04,7,...........
20,20.9995,-8.48E-01,-1.61E-05,0.00E+00,-8.47E-01,1.22E-04,7,...........
21,21.9995,-8.47E-01,-1.61E-05,0.00E+00,-8.47E-01,2.20E-05,7,...........
22,22.9994,-8.47E-01,-1.61E-05,0.00E+00,-8.47E-01,2.20E-05,7,...........
23,23.9994,-8.47E-01,-1.61E-05,0.00E+00,-8.46E-01,3.22E-04,7,...........
24,24.9994,-8.47E-01,-1.60E-05,0.00E+00,-8.46E-01,-7.80E-05,7,...........
25,25.9994,-8.47E-01,-1.60E-05,0.00E+00,-8.46E-01,-1.78E-04,7,...........
26,26.9993,-8.47E-01,-1.60E-05,0.00E+00,-8.46E-01,4.22E-04,7,...........
27,27.9993,-8.47E-01,-1.60E-05,0.00E+00,-8.46E-01,-7.80E-05,7,...........
28,28.9993,-8.46E-01,-1.60E-05,0.00E+00,-8.46E-01,-7.80E-05,7,...........
29,29.9993,-8.46E-01,-1.60E-05,0.00E+00,-8.45E-01,3.22E-04,7,...........
30,30.9992,-8.46E-01,-1.60E-05,0.00E+00,-8.45E-01,-7.80E-05,7,...........
31,31.9992,-8.46E-01,-1.60E-05,0.00E+00,-8.45E-01,4.22E-04,7,...........
32,32.9992,-8.46E-01,-1.60E-05,0.00E+00,-8.45E-01,4.22E-04,7,...........
33,33.9991,-8.46E-01,-1.60E-05,0.00E+00,-8.45E-01,1.22E-04,7,...........
34,34.9991,-8.45E-01,-1.59E-05,0.00E+00,-8.45E-01,1.22E-04,7,...........
35,35.9991,-8.45E-01,-1.59E-05,0.00E+00,-8.44E-01,2.20E-05,7,...........
36,36.9991,-8.45E-01,-1.59E-05,0.00E+00,-8.44E-01,1.22E-04,7,...........
37,37.9991,-8.45E-01,-1.59E-05,0.00E+00,-8.44E-01,-7.80E-05,7,...........
38,38.999,-8.45E-01,-1.59E-05,0.00E+00,-8.44E-01,1.22E-04,7,...........
39,39.999,-8.45E-01,-1.59E-05,0.00E+00,-8.44E-01,6.22E-04,7,...........
40,40.999,-8.44E-01,-1.59E-05,0.00E+00,-8.44E-01,2.22E-04,7,...........
41,41.999,-8.44E-01,-1.59E-05,0.00E+00,-8.43E-01,-1.78E-04,7,...........
42,42.9989,-8.44E-01,-1.59E-05,0.00E+00,-8.43E-01,4.22E-04,7,...........
43,43.9989,-8.44E-01,-1.59E-05,0.00E+00,-8.43E-01,1.22E-04,7,...........
44,44.9989,-8.44E-01,-1.58E-05,0.00E+00,-8.43E-01,1.22E-04,7,...........
45,45.9989,-8.44E-01,-1.58E-05,0.00E+00,-8.43E-01,5.22E-04,7,...........
46,46.9988,-8.43E-01,-1.58E-05,0.00E+00,-8.43E-01,3.22E-04,7,...........
47,47.9988,-8.43E-01,-1.58E-05,0.00E+00,-8.42E-01,2.20E-05,7,...........
48,48.9988,-8.43E-01,-1.58E-05,0.00E+00,-8.42E-01,2.20E-05,7,...........
