Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over
0,1,-7.83841E-001,-6.36944E-006,0.00000E+000,-7.83296E-001,0.00000E+000,7,...........
1,2,-7.83695E-001,-6.19182E-006,0.00000E+000,-7.83146E-001,0.00000E+000,7,...........
2,3,-7.83547E-001,-6.08374E-006,0.00000E+000,-7.82996E-001,0.00000E+000,7,...........
3,4,-7.83341E-001,-5.99326E-006,0.00000E+000,-7.82796E-001,0.00000E+000,7,...........
4,5,-7.83195E-001,-5.92294E-006,0.00000E+000,-7.82646E-001,0.00000E+000,7,...........
5,6,-7.83048E-001,-5.85605E-006,0.00000E+000,-7.82496E-001,0.00000E+000,7,...........
6,7,-7.82856E-001,-5.80627E-006,0.00000E+000,-7.82296E-001,0.00000E+000,7,...........
7,8,-7.82701E-001,-5.75512E-006,0.00000E+000,-7.82146E-001,0.00000E+000,7,...........
8,9,-7.82545E-001,-5.71015E-006,0.00000E+000,-7.81996E-001,0.00000E+000,7,...........
9,10,-7.82356E-001,-5.65889E-006,0.00000E+000,-7.81796E-001,0.00000E+000,7,...........
10,11,-7.82201E-001,-5.61036E-006,0.00000E+000,-7.81646E-001,0.00000E+000,7,...........
11,12,-7.82053E-001,-5.58085E-006,0.00000E+000,-7.81496E-001,0.00000E+000,7,...........
12,13,-7.81851E-001,-5.51124E-006,0.00000E+000,-7.81296E-001,0.00000E+000,7,...........
13,14,-7.81709E-001,-5.48464E-006,0.00000E+000,-7.81146E-001,0.00000E+000,7,...........
14,15,-7.81553E-001,-5.45126E-006,0.00000E+000,-7.80996E-001,0.00000E+000,7,...........
15,16,-7.81361E-001,-5.36928E-006,0.00000E+000,-7.80796E-001,0.00000E+000,7,...........
16,17,-7.81208E-001,-5.34425E-006,0.00000E+000,-7.80646E-001,0.00000E+000,7,...........
17,18,-7.81037E-001,-5.31810E-006,0.00000E+000,-7.80496E-001,0.00000E+000,7,...........
18,19,-7.80836E-001,-5.26094E-006,0.00000E+000,-7.80296E-001,0.00000E+000,7,...........
19,20,-7.80682E-001,-5.23270E-006,0.00000E+000,-7.80146E-001,0.00000E+000,7,...........
20,21,-7.80534E-001,-5.20595E-006,0.00000E+000,-7.79996E-001,0.00000E+000,7,...........
21,22,-7.80330E-001,-5.13768E-006,0.00000E+000,-7.79796E-001,0.00000E+000,7,...........
22,23,-7.80184E-001,-5.10547E-006,0.00000E+000,-7.79646E-001,0.00000E+000,7,...........
23,24,-7.80025E-001,-5.08432E-006,0.00000E+000,-7.79496E-001,0.00000E+000,7,...........
24,25,-7.79841E-001,-5.02000E-006,0.00000E+000,-7.79296E-001,0.00000E+000,7,...........
25,26,-7.79686E-001,-4.99296E-006,0.00000E+000,-7.79146E-001,0.00000E+000,7,...........
26,27,-7.79535E-001,-4.95706E-006,0.00000E+000,-7.78996E-001,0.00000E+000,7,...........
27,28,-7.79339E-001,-4.89588E-006,0.00000E+000,-7.78796E-001,0.00000E+000,7,...........
28,29,-7.79187E-001,-4.87259E-006,0.00000E+000,-7.78646E-001,0.00000E+000,7,...........
29,30,-7.79042E-001,-4.82928E-006,0.00000E+000,-7.78496E-001,0.00000E+000,7,...........
30,31,-7.78839E-001,-4.76958E-006,0.00000E+000,-7.78296E-001,0.00000E+000,7,...........
31,32,-7.78687E-001,-4.74148E-006,0.00000E+000,-7.78146E-001,0.00000E+000,7,...........
32,33,-7.78543E-001,-4.71088E-006,0.00000E+000,-7.77996E-001,0.00000E+000,7,...........
33,34,-7.78347E-001,-4.63948E-006,0.00000E+000,-7.77796E-001,0.00000E+000,7,...........
34,35,-7.78198E-001,-4.60450E-006,0.00000E+000,-7.77646E-001,0.00000E+000,7,...........
35,36,-7.78047E-001,-4.55994E-006,0.00000E+000,-7.77496E-001,0.00000E+000,7,...........
36,37,-7.77836E-001,-4.50604E-006,0.00000E+000,-7.77296E-001,0.00000E+000,7,...........
37,38,-7.77692E-001,-4.48555E-006,0.00000E+000,-7.77146E-001,0.00000E+000,7,...........
38,39,-7.77537E-001,-4.44246E-006,0.00000E+000,-7.76996E-001,0.00000E+000,7,...........
39,40,-7.77338E-001,-4.39869E-006,0.00000E+000,-7.76796E-001,0.00000E+000,7,...........
40,41,-7.77191E-001,-4.36436E-006,0.00000E+000,-7.76646E-001,0.00000E+000,7,...........
41,42,-7.77040E-001,-4.33440E-006,0.00000E+000,-7.76496E-001,0.00000E+000,7,...........
42,43,-7.76844E-001,-4.27615E-006,0.00000E+000,-7.76296E-001,0.00000E+000,7,...........
43,44,-7.76693E-001,-4.24016E-006,0.00000E+000,-7.76146E-001,0.00000E+000,7,...........
44,45,-7.76498E-001,-4.16250E-006,0.00000E+000,-7.75946E-001,0.00000E+000,7,...........
45,46,-7.76341E-001,-4.14105E-006,0.00000E+000,-7.75797E-001,0.00000E+000,7,...........
46,47,-7.76196E-001,-4.10464E-006,0.00000E+000,-7.75647E-001,0.00000E+000,7,...........
47,48,-7.75989E-001,-4.05500E-006,0.00000E+000,-7.75447E-001,0.00000E+000,7,...........
48,49,-7.75846E-001,-4.00726E-006,0.00000E+000,-7.75297E-001,0.00000E+000,7,...........
49,50,-7.75698E-001,-3.97275E-006,0.00000E+000,-7.75147E-001,0.00000E+000,7,...........
50,51,-7.75503E-001,-3.90567E-006,0.00000E+000,-7.74947E-001,0.00000E+000,7,...........
51,52,-7.75344E-001,-3.89152E-006,0.00000E+000,-7.74797E-001,0.00000E+000,7,...........
52,53,-7.75203E-001,-3.84481E-006,0.00000E+000,-7.74647E-001,0.00000E+000,7,...........
53,54,-7.75002E-001,-3.77832E-006,0.00000E+000,-7.74447E-001,0.00000E+000,7,...........
54,55,-7.74855E-001,-3.74770E-006,0.00000E+000,-7.74297E-001,0.00000E+000,7,...........
55,56,-7.74689E-001,-3.71463E-006,0.00000E+000,-7.74147E-001,0.00000E+000,7,...........
56,57,-7.74495E-001,-3.64867E-006,0.00000E+000,-7.73947E-001,0.00000E+000,7,...........
57,58,-7.74342E-001,-3.60133E-006,0.00000E+000,-7.73797E-001,0.00000E+000,7,...........
58,59,-7.74205E-001,-3.56119E-006,0.00000E+000,-7.73647E-001,0.00000E+000,7,...........
59,60,-7.74005E-001,-3.51309E-006,0.00000E+000,-7.73447E-001,0.00000E+000,7,...........
60,61,-7.73841E-001,-3.45692E-006,0.00000E+000,-7.73297E-001,0.00000E+000,7,...........
61,62,-7.73699E-001,-3.44172E-006,0.00000E+000,-7.73147E-001,0.00000E+000,7,...........
62,63,-7.73499E-001,-3.38023E-006,0.00000E+000,-7.72947E-001,0.00000E+000,7,...........
63,64,-7.73352E-001,-3.33140E-006,0.00000E+000,-7.72797E-001,0.00000E+000,7,...........
64,65,-7.73207E-001,-3.29891E-006,0.00000E+000,-7.72647E-001,0.00000E+000,7,...........
65,66,-7.72999E-001,-3.24672E-006,0.00000E+000,-7.72447E-001,0.00000E+000,7,...........
66,67,-7.72848E-001,-3.21302E-006,0.00000E+000,-7.72297E-001,0.00000E+000,7,...........
67,68,-7.72698E-001,-3.15206E-006,0.00000E+000,-7.72147E-001,0.00000E+000,7,...........
68,69,-7.72507E-001,-3.10072E-006,0.00000E+000,-7.71947E-001,0.00000E+000,7,...........
69,70,-7.72351E-001,-3.04664E-006,0.00000E+000,-7.71797E-001,0.00000E+000,7,...........
70,71,-7.72203E-001,-3.01191E-006,0.00000E+000,-7.71647E-001,0.00000E+000,7,...........
71,72,-7.72007E-001,-2.95220E-006,0.00000E+000,-7.71447E-001,0.00000E+000,7,...........
72,73,-7.71854E-001,-2.92815E-006,0.00000E+000,-7.71297E-001,0.00000E+000,7,...........
73,74,-7.71706E-001,-2.87891E-006,0.00000E+000,-7.71147E-001,0.00000E+000,7,...........
74,75,-7.71509E-001,-2.81533E-006,0.00000E+000,-7.70947E-001,0.00000E+000,7,...........
75,76,-7.71349E-001,-2.76863E-006,0.00000E+000,-7.70797E-001,0.00000E+000,7,...........
76,77,-7.71194E-001,-2.73791E-006,0.00000E+000,-7.70647E-001,0.00000E+000,7,...........
77,78,-7.71005E-001,-2.68437E-006,0.00000E+000,-7.70447E-001,0.00000E+000,7,...........
78,79,-7.70862E-001,-2.62359E-006,0.00000E+000,-7.70297E-001,0.00000E+000,7,...........
79,80,-7.70703E-001,-2.58978E-006,0.00000E+000,-7.70147E-001,0.00000E+000,7,...........
80,81,-7.70511E-001,-2.51159E-006,0.00000E+000,-7.69947E-001,0.00000E+000,7,...........
81,82,-7.70355E-001,-2.50051E-006,0.00000E+000,-7.69797E-001,0.00000E+000,7,...........
