Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over
0,0.99998,-7.62532E-001,4.77802E-006,0.00000E+000,-7.62600E-001,8.21960E-004,6,...........
1,1.99995,-7.63774E-001,4.67227E-006,0.00000E+000,-7.62600E-001,8.21960E-004,6,...........
2,2.99993,-7.63774E-001,4.54202E-006,0.00000E+000,-7.62800E-001,4.21960E-004,6,...........
3,3.9999,-7.63974E-001,4.44702E-006,0.00000E+000,-7.62950E-001,8.21960E-004,6,...........
4,4.99988,-7.64174E-001,4.37077E-006,0.00000E+000,-7.63100E-001,3.21960E-004,6,...........
5,5.99985,-7.64474E-001,4.27802E-006,0.00000E+000,-7.63300E-001,7.21960E-004,6,...........
6,6.99983,-7.64474E-001,4.21677E-006,0.00000E+000,-7.63450E-001,4.21960E-004,6,...........
7,7.9998,-7.64574E-001,4.15202E-006,0.00000E+000,-7.63600E-001,1.21960E-004,6,...........
8,8.99977,-7.64874E-001,4.07527E-006,0.00000E+000,-7.63800E-001,5.21960E-004,6,...........
9,9.9998,-7.65074E-001,4.02102E-006,0.00000E+000,-7.63950E-001,7.21960E-004,6,...........
10,10.9997,-7.65074E-001,3.96352E-006,0.00000E+000,-7.64100E-001,6.21960E-004,6,...........
11,11.9997,-7.65274E-001,3.89577E-006,0.00000E+000,-7.64300E-001,2.21960E-004,6,...........
12,12.9997,-7.65474E-001,3.85077E-006,0.00000E+000,-7.64450E-001,1.21960E-004,6,...........
13,13.9997,-7.65574E-001,3.80402E-006,0.00000E+000,-7.64600E-001,8.21960E-004,6,...........
14,14.9996,-7.65874E-001,3.74352E-006,0.00000E+000,-7.64800E-001,8.21960E-004,6,...........
15,15.9996,-7.65974E-001,3.69102E-006,0.00000E+000,-7.64950E-001,4.21960E-004,6,...........
16,16.9996,-7.66174E-001,3.64602E-006,0.00000E+000,-7.65100E-001,3.21960E-004,6,...........
17,17.9995,-7.66374E-001,3.58752E-006,0.00000E+000,-7.65300E-001,4.21960E-004,6,...........
18,18.9995,-7.66474E-001,3.54477E-006,0.00000E+000,-7.65450E-001,3.21960E-004,6,...........
19,19.9995,-7.66574E-001,3.50302E-006,0.00000E+000,-7.65600E-001,5.21960E-004,6,...........
20,20.9995,-7.66874E-001,3.44702E-006,0.00000E+000,-7.65800E-001,2.21960E-004,6,...........
21,21.9995,-7.66874E-001,3.40552E-006,0.00000E+000,-7.65950E-001,1.21960E-004,6,...........
22,22.9994,-7.67074E-001,3.36077E-006,0.00000E+000,-7.66100E-001,3.21960E-004,6,...........
23,23.9994,-7.67274E-001,3.30777E-006,0.00000E+000,-7.66300E-001,4.21960E-004,6,...........
24,24.9994,-7.67474E-001,3.27602E-006,0.00000E+000,-7.66450E-001,4.21960E-004,6,...........
25,25.9994,-7.67574E-001,3.22977E-006,0.00000E+000,-7.66600E-001,4.21960E-004,6,...........
26,26.9993,-7.67874E-001,3.17452E-006,0.00000E+000,-7.66800E-001,3.21960E-004,6,...........
27,27.9993,-7.67974E-001,3.13702E-006,0.00000E+000,-7.66950E-001,5.21960E-004,6,...........
28,28.9993,-7.68174E-001,3.10127E-006,0.00000E+000,-7.67100E-001,5.21960E-004,6,...........
29,29.9993,-7.68374E-001,3.04702E-006,0.00000E+000,-7.67300E-001,4.21960E-004,6,...........
30,30.9992,-7.68374E-001,3.01227E-006,0.00000E+000,-7.67450E-001,3.21960E-004,6,...........
31,31.9992,-7.68674E-001,2.97602E-006,0.00000E+000,-7.67600E-001,8.21960E-004,6,...........
32,32.9992,-7.68874E-001,2.92202E-006,0.00000E+000,-7.67800E-001,1.21960E-004,6,...........
33,33.9991,-7.69074E-001,2.89027E-006,0.00000E+000,-7.67950E-001,3.21960E-004,6,...........
34,34.9991,-7.69174E-001,2.85027E-006,0.00000E+000,-7.68100E-001,8.21960E-004,6,...........
35,35.9991,-7.69374E-001,2.80377E-006,0.00000E+000,-7.68300E-001,2.21960E-004,6,...........
36,36.9991,-7.69474E-001,2.76752E-006,0.00000E+000,-7.68450E-001,1.21960E-004,6,...........
37,37.9991,-7.69674E-001,2.73127E-006,0.00000E+000,-7.68600E-001,3.21960E-004,6,...........
38,38.999,-7.69874E-001,2.68427E-006,0.00000E+000,-7.68800E-001,3.21960E-004,6,...........
39,39.999,-7.70074E-001,2.65702E-006,0.00000E+000,-7.68950E-001,7.21960E-004,6,...........
40,40.999,-7.70174E-001,2.60077E-006,0.00000E+000,-7.69150E-001,3.21960E-004,6,...........
41,41.999,-7.70274E-001,2.56927E-006,0.00000E+000,-7.69300E-001,1.21960E-004,6,...........
42,42.9989,-7.70474E-001,2.53502E-006,0.00000E+000,-7.69450E-001,3.21960E-004,6,...........
43,43.9989,-7.70674E-001,2.48952E-006,0.00000E+000,-7.69650E-001,3.21960E-004,6,...........
44,44.9989,-7.70874E-001,2.45402E-006,0.00000E+000,-7.69800E-001,2.19600E-005,6,...........
45,45.9989,-7.70874E-001,2.42227E-006,0.00000E+000,-7.69950E-001,1.21960E-004,6,...........
46,46.9988,-7.71174E-001,2.37527E-006,0.00000E+000,-7.70150E-001,2.21960E-004,6,...........
