Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
0,1,-2.92092E-001,3.31688E-002,1.01174E+000,2.00002E-001,0.00000E+000,11,..........., 0.00
1,2,-2.89863E-001,3.30560E-002,1.00929E+000,1.99852E-001,0.00000E+000,11,..........., 0.00
2,3,-2.64835E-001,4.78143E-002,1.47693E+000,1.99652E-001,0.00000E+000,11,..........., 0.00
3,4,-2.63534E-001,4.75696E-002,1.47298E+000,1.99502E-001,0.00000E+000,11,..........., 0.00
4,5,-2.36003E-001,6.14609E-002,1.91315E+000,1.99352E-001,0.00000E+000,11,..........., 0.00
5,6,-2.34301E-001,6.10379E-002,1.90726E+000,1.99152E-001,0.00000E+000,11,..........., 0.00
6,7,-2.15280E-001,7.40547E-002,2.32845E+000,1.99002E-001,0.00000E+000,11,..........., 0.00
7,8,-2.11776E-001,7.36352E-002,2.31905E+000,1.98852E-001,0.00000E+000,11,..........., 0.00
8,9,-1.91553E-001,8.59658E-002,2.71999E+000,1.98652E-001,0.00000E+000,11,..........., 0.00
9,10,-1.88850E-001,8.50307E-002,2.70762E+000,1.98502E-001,0.00000E+000,11,..........., 0.00
10,11,-1.65624E-001,9.66427E-002,3.08532E+000,1.98352E-001,0.00000E+000,11,..........., 0.00
11,12,-1.55540E-001,9.56279E-002,3.06399E+000,1.98152E-001,0.00000E+000,12,..........., 0.00
12,13,-1.35518E-001,1.06585E-001,3.42189E+000,1.98002E-001,0.00000E+000,12,..........., 0.00
13,14,-1.35117E-001,1.05333E-001,3.39988E+000,1.97852E-001,0.00000E+000,12,..........., 0.00
14,15,-1.15896E-001,1.15691E-001,3.73872E+000,1.97652E-001,0.00000E+000,12,..........., 0.00
15,16,-1.11891E-001,1.14252E-001,3.71253E+000,1.97502E-001,0.00000E+000,12,..........., 0.00
16,17,-9.46719E-002,1.24182E-001,4.03449E+000,1.97352E-001,0.00000E+000,12,..........., 0.00
17,18,-9.46719E-002,1.22483E-001,4.00801E+000,1.97152E-001,0.00000E+000,12,..........., 0.00
18,19,-7.14460E-002,1.31170E-001,4.30681E+000,1.97002E-001,0.00000E+000,12,..........., 0.00
19,20,-6.26362E-002,1.29310E-001,4.27141E+000,1.96852E-001,0.00000E+000,12,..........., 0.00
20,21,-4.86205E-002,1.37711E-001,4.55642E+000,1.96652E-001,0.00000E+000,12,..........., 0.00
21,22,-3.46048E-002,1.34911E-001,4.50671E+000,1.96502E-001,0.00000E+000,12,..........., 0.00
