Pt,T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
0,1,-7.54209E-001,-2.48392E-002,-6.38449E-001,-1.04998E+000,0.00000E+000,11,..........., 0.00
1,2,-7.57387E-001,-2.49018E-002,-6.33954E-001,-1.04983E+000,0.00000E+000,11,..........., 0.00
2,3,-7.85018E-001,-3.57763E-002,-9.03904E-001,-1.04968E+000,0.00000E+000,11,..........., 0.00
3,4,-7.86320E-001,-3.56663E-002,-8.97911E-001,-1.04948E+000,0.00000E+000,11,..........., 0.00
4,5,-8.10747E-001,-4.58213E-002,-1.14340E+000,-1.04933E+000,0.00000E+000,11,..........., 0.00
5,6,-8.11548E-001,-4.56936E-002,-1.13644E+000,-1.04918E+000,0.00000E+000,11,..........., 0.00
6,7,-8.31270E-001,-5.50956E-002,-1.36233E+000,-1.04898E+000,0.00000E+000,11,..........., 0.00
7,8,-8.36676E-001,-5.49141E-002,-1.34979E+000,-1.04883E+000,0.00000E+000,11,..........., 0.00
8,9,-8.51493E-001,-6.36844E-002,-1.56063E+000,-1.04868E+000,0.00000E+000,11,..........., 0.00
9,10,-8.51092E-001,-6.34692E-002,-1.54830E+000,-1.04848E+000,0.00000E+000,11,..........., 0.00
10,11,-8.64307E-001,-7.17676E-002,-1.74591E+000,-1.04833E+000,0.00000E+000,11,..........., 0.00
11,12,-8.62906E-001,-7.12855E-002,-1.73467E+000,-1.04818E+000,0.00000E+000,11,..........., 0.00
12,13,-8.78023E-001,-7.90068E-002,-1.91718E+000,-1.04798E+000,0.00000E+000,11,..........., 0.00
13,14,-8.81551E-001,-7.86018E-002,-1.90420E+000,-1.04783E+000,0.00000E+000,11,..........., 0.00
14,15,-8.91962E-001,-8.60850E-002,-2.07625E+000,-1.04768E+000,0.00000E+000,11,..........., 0.00
15,16,-8.89560E-001,-8.54768E-002,-2.06544E+000,-1.04748E+000,0.00000E+000,11,..........., 0.00
16,17,-8.99571E-001,-9.22867E-002,-2.22770E+000,-1.04733E+000,0.00000E+000,11,..........., 0.00
17,18,-8.97569E-001,-9.18612E-002,-2.21852E+000,-1.04718E+000,0.00000E+000,12,..........., 0.00
18,19,-9.10383E-001,-9.86675E-002,-2.36811E+000,-1.04698E+000,0.00000E+000,12,..........., 0.00
19,20,-9.08381E-001,-9.85049E-002,-2.36070E+000,-1.04683E+000,0.00000E+000,12,..........., 0.00
20,21,-9.17191E-001,-1.04581E-001,-2.50124E+000,-1.04668E+000,0.00000E+000,12,..........., 0.00
21,22,-9.16390E-001,-1.04354E-001,-2.49470E+000,-1.04648E+000,0.00000E+000,12,..........., 0.00
22,23,-9.15188E-001,-1.10433E-001,-2.63635E+000,-1.04633E+000,0.00000E+000,12,..........., 0.00
23,24,-9.15989E-001,-1.10401E-001,-2.62891E+000,-1.04618E+000,0.00000E+000,12,..........., 0.00
24,25,-9.25600E-001,-1.16256E-001,-2.76087E+000,-1.04598E+000,0.00000E+000,12,..........., 0.00
25,26,-9.26000E-001,-1.16142E-001,-2.75286E+000,-1.04583E+000,0.00000E+000,12,..........., 0.00
26,27,-9.31607E-001,-1.21195E-001,-2.87929E+000,-1.04568E+000,0.00000E+000,12,..........., 0.00
27,28,-9.49226E-001,-1.24977E-001,-2.85344E+000,-1.04548E+000,0.00000E+000,12,..........., 0.00
28,29,-9.64443E-001,-1.31147E-001,-2.96467E+000,-1.04533E+000,0.00000E+000,12,..........., 0.00
29,30,-9.59638E-001,-1.30242E-001,-2.94331E+000,-1.04518E+000,0.00000E+000,12,..........., 0.00
30,31,-9.66446E-001,-1.35226E-001,-3.04765E+000,-1.04498E+000,0.00000E+000,12,..........., 0.00
31,32,-9.70851E-001,-1.35301E-001,-3.02172E+000,-1.04483E+000,0.00000E+000,12,..........., 0.00
32,33,-9.83265E-001,-1.41085E-001,-3.11354E+000,-1.04468E+000,0.00000E+000,12,..........., 0.00
33,34,-9.92875E-001,-1.39665E-001,-3.07779E+000,-1.04448E+000,0.00000E+000,12,..........., 0.00
34,35,-1.00329E+000,-1.44243E-001,-3.15918E+000,-1.04433E+000,0.00000E+000,12,..........., 0.00
35,36,-1.00849E+000,-1.42059E-001,-3.11807E+000,-1.04418E+000,0.00000E+000,12,..........., 0.00
36,37,-1.01810E+000,-1.46845E-001,-3.18966E+000,-1.04398E+000,0.00000E+000,12,..........., 0.00
37,38,-1.01610E+000,-1.46818E-001,-3.15037E+000,-1.04383E+000,0.00000E+000,12,..........., 0.00
38,39,-1.02691E+000,-1.50649E-001,-3.21091E+000,-1.04363E+000,0.00000E+000,12,..........., 0.00
39,40,-1.04533E+000,-1.49272E-001,-3.15307E+000,-1.04348E+000,0.00000E+000,12,..........., 0.00
40,41,-1.04013E+000,-1.51796E-001,-3.21870E+000,-1.04333E+000,0.00000E+000,12,..........., 0.00
41,42,-1.04133E+000,-1.50474E-001,-3.15948E+000,-1.04313E+000,0.00000E+000,12,..........., 0.00
42,43,-1.05615E+000,-1.56585E-001,-3.21007E+000,-1.04298E+000,0.00000E+000,12,..........., 0.00
43,44,-1.05454E+000,-1.52976E-001,-3.15233E+000,-1.04283E+000,0.00000E+000,12,..........., 0.00
44,45,-1.05014E+000,-1.54036E-001,-3.20724E+000,-1.04263E+000,0.00000E+000,12,..........., 0.00
45,46,-1.05094E+000,-1.51100E-001,-3.14844E+000,-1.04248E+000,0.00000E+000,12,..........., 0.00
46,47,-1.05575E+000,-1.53954E-001,-3.19859E+000,-1.04233E+000,0.00000E+000,12,..........., 0.00
47,48,-1.05815E+000,-1.51560E-001,-3.13695E+000,-1.04213E+000,0.00000E+000,12,..........., 0.00
48,49,-1.06215E+000,-1.54035E-001,-3.18302E+000,-1.04198E+000,0.00000E+000,12,..........., 0.00
49,50,-1.06255E+000,-1.52451E-001,-3.12069E+000,-1.04183E+000,0.00000E+000,12,..........., 0.00
50,51,-1.06255E+000,-1.53608E-001,-3.16685E+000,-1.04163E+000,0.00000E+000,12,..........., 0.00
51,52,-1.06135E+000,-1.51409E-001,-3.10526E+000,-1.04148E+000,0.00000E+000,12,..........., 0.00
52,53,-1.06656E+000,-1.54581E-001,-3.14621E+000,-1.04133E+000,0.00000E+000,12,..........., 0.00
53,54,-1.07336E+000,-1.52740E-001,-3.07769E+000,-1.04113E+000,0.00000E+000,12,..........., 0.00
54,55,-1.08017E+000,-1.55580E-001,-3.11149E+000,-1.04098E+000,0.00000E+000,12,..........., 0.00
55,56,-1.07577E+000,-1.52280E-001,-3.04719E+000,-1.04083E+000,0.00000E+000,12,..........., 0.00
56,57,-1.08698E+000,-1.55993E-001,-3.06952E+000,-1.04063E+000,0.00000E+000,12,..........., 0.00
57,58,-1.09339E+000,-1.54167E-001,-2.99874E+000,-1.04048E+000,0.00000E+000,12,..........., 0.00
58,59,-1.09659E+000,-1.55920E-001,-3.01790E+000,-1.04033E+000,0.00000E+000,12,..........., 0.00
59,60,-1.09299E+000,-1.51674E-001,-2.95023E+000,-1.04013E+000,0.00000E+000,12,..........., 0.00
60,61,-1.09939E+000,-1.52872E-001,-2.96299E+000,-1.03998E+000,0.00000E+000,12,..........., 0.00
61,62,-1.10740E+000,-1.50043E-001,-2.88695E+000,-1.03983E+000,0.00000E+000,12,..........., 0.00
62,63,-1.11181E+000,-1.52221E-001,-2.89514E+000,-1.03963E+000,0.00000E+000,12,..........., 0.00
63,64,-1.10780E+000,-1.47908E-001,-2.82294E+000,-1.03948E+000,0.00000E+000,12,..........., 0.00
64,65,-1.10500E+000,-1.47741E-001,-2.83387E+000,-1.03933E+000,0.00000E+000,12,..........., 0.00
65,66,-1.10340E+000,-1.44239E-001,-2.76288E+000,-1.03913E+000,0.00000E+000,12,..........., 0.00
66,67,-1.11061E+000,-1.45175E-001,-2.76653E+000,-1.03898E+000,0.00000E+000,12,..........., 0.00
67,68,-1.11781E+000,-1.42224E-001,-2.68825E+000,-1.03883E+000,0.00000E+000,12,..........., 0.00
68,69,-1.13744E+000,-1.46503E-001,-2.67187E+000,-1.03863E+000,0.00000E+000,12,..........., 0.00
69,70,-1.14424E+000,-1.43678E-001,-2.58651E+000,-1.03848E+000,0.00000E+000,12,..........., 0.00
70,71,-1.14905E+000,-1.43832E-001,-2.56540E+000,-1.03833E+000,0.00000E+000,12,..........., 0.00
71,72,-1.14464E+000,-1.39395E-001,-2.48396E+000,-1.03813E+000,0.00000E+000,12,..........., 0.00
72,73,-1.14344E+000,-1.38807E-001,-2.46405E+000,-1.03798E+000,0.00000E+000,12,..........., 0.00
73,74,-1.14344E+000,-1.33738E-001,-2.38228E+000,-1.03783E+000,0.00000E+000,12,..........., 0.00
74,75,-1.14304E+000,-1.31706E-001,-2.36248E+000,-1.03763E+000,0.00000E+000,12,..........., 0.00
75,76,-1.13543E+000,-1.26930E-001,-2.28816E+000,-1.03748E+000,0.00000E+000,12,..........., 0.00
76,77,-1.13664E+000,-1.26413E-001,-2.26703E+000,-1.03733E+000,0.00000E+000,12,..........., 0.00
77,78,-1.12943E+000,-1.22413E-001,-2.19969E+000,-1.03713E+000,0.00000E+000,12,..........., 0.00
78,79,-1.12703E+000,-1.21444E-001,-2.18072E+000,-1.03698E+000,0.00000E+000,12,..........., 0.00
79,80,-1.12703E+000,-1.17577E-001,-2.11333E+000,-1.03683E+000,0.00000E+000,12,..........., 0.00
80,81,-1.12582E+000,-1.16453E-001,-2.09531E+000,-1.03663E+000,0.00000E+000,12,..........., 0.00
81,82,-1.12783E+000,-1.13330E-001,-2.02564E+000,-1.03648E+000,0.00000E+000,12,..........., 0.00
82,83,-1.12502E+000,-1.12195E-001,-2.01024E+000,-1.03633E+000,0.00000E+000,12,..........., 0.00
83,84,-1.12262E+000,-1.08864E-001,-1.94266E+000,-1.03613E+000,0.00000E+000,12,..........., 0.00
84,85,-1.11862E+000,-1.07961E-001,-1.93129E+000,-1.03598E+000,0.00000E+000,12,..........., 0.00
85,86,-1.11661E+000,-1.04339E-001,-1.86527E+000,-1.03578E+000,0.00000E+000,12,..........., 0.00
86,87,-1.11902E+000,-1.04059E-001,-1.85136E+000,-1.03563E+000,0.00000E+000,12,..........., 0.00
